timestamp,station_name,free_bikes,latitude,longitude,area_type
2026-01-27 06:00:00,丸の内オフィス前,2,35.6812,139.7671,downtown
2026-01-27 06:00:00,大手町駅,2,35.687,139.7658,downtown
2026-01-27 06:00:00,日比谷公園,2,35.6745,139.7515,downtown
2026-01-27 06:00:00,霞が関官庁街,1,35.6735,139.7516,downtown
2026-01-27 06:00:00,新橋駅前,1,35.666,139.7577,downtown
2026-01-27 06:00:00,銀座四丁目,1,35.671,139.7642,downtown
2026-01-27 06:00:00,東京駅丸の内口,1,35.6814,139.767,downtown
2026-01-27 06:00:00,虎ノ門ヒルズ,1,35.6656,139.748,downtown
2026-01-27 06:00:00,神田駅,1,35.6918,139.7708,downtown
2026-01-27 06:00:00,秋葉原駅,1,35.6984,139.7731,downtown
2026-01-27 06:00:00,新宿駅西口,1,35.6896,139.7006,downtown
2026-01-27 06:00:00,渋谷駅ハチ公口,2,35.6595,139.7004,downtown
2026-01-27 06:00:00,六本木ヒルズ,2,35.6604,139.7292,downtown
2026-01-27 06:00:00,赤坂見附駅,1,35.6792,139.7366,downtown
2026-01-27 06:00:00,表参道駅,1,35.6654,139.7125,downtown
2026-01-27 06:00:00,豊洲駅前,27,35.655,139.7954,suburb
2026-01-27 06:00:00,東雲住宅街,28,35.6393,139.8011,suburb
2026-01-27 06:00:00,有明ガーデン,31,35.6348,139.79,suburb
2026-01-27 06:00:00,辰巳団地,31,35.6448,139.8178,suburb
2026-01-27 06:00:00,木場公園,32,35.6711,139.8113,suburb
2026-01-27 06:00:00,品川シーサイド,30,35.6088,139.7389,suburb
2026-01-27 06:00:00,大井町駅,33,35.6056,139.7335,suburb
2026-01-27 06:00:00,武蔵小山商店街,31,35.6131,139.708,suburb
2026-01-27 06:00:00,中目黒駅,30,35.6443,139.6987,suburb
2026-01-27 06:00:00,学芸大学駅,31,35.6301,139.6961,suburb
2026-01-27 06:00:00,三軒茶屋駅,33,35.6434,139.6694,suburb
2026-01-27 06:00:00,下北沢駅,31,35.6611,139.6681,suburb
2026-01-27 06:00:00,成城学園前駅,31,35.6419,139.6024,suburb
2026-01-27 06:00:00,荻窪駅,27,35.7053,139.6203,suburb
2026-01-27 06:00:00,高円寺駅,30,35.7046,139.6493,suburb
2026-01-27 06:00:00,中野駅,31,35.7056,139.6656,suburb
2026-01-27 06:00:00,練馬駅,27,35.7375,139.6524,suburb
2026-01-27 06:00:00,光が丘公園,30,35.7609,139.6311,suburb
2026-01-27 06:00:00,板橋区役所前,27,35.7514,139.7094,suburb
2026-01-27 06:00:00,赤羽駅,28,35.7775,139.7222,suburb
2026-01-27 06:00:00,王子駅,29,35.7531,139.738,suburb
2026-01-27 06:00:00,北千住駅,33,35.7493,139.8048,suburb
2026-01-27 06:00:00,綾瀬駅,31,35.7493,139.8267,suburb
2026-01-27 06:00:00,亀有駅,31,35.7609,139.8481,suburb
2026-01-27 06:00:00,金町駅,28,35.7647,139.8706,suburb
2026-01-27 06:00:00,葛西駅,33,35.6656,139.8599,suburb
2026-01-27 06:00:00,西葛西駅,33,35.6656,139.8681,suburb
2026-01-27 06:00:00,船堀駅,29,35.6856,139.8686,suburb
2026-01-27 06:00:00,小岩駅,31,35.7337,139.8824,suburb
2026-01-27 06:00:00,錦糸町駅,34,35.6969,139.8137,suburb
2026-01-27 06:10:00,丸の内オフィス前,1,35.6812,139.7671,downtown
2026-01-27 06:10:00,大手町駅,2,35.687,139.7658,downtown
2026-01-27 06:10:00,日比谷公園,1,35.6745,139.7515,downtown
2026-01-27 06:10:00,霞が関官庁街,1,35.6735,139.7516,downtown
2026-01-27 06:10:00,新橋駅前,2,35.666,139.7577,downtown
2026-01-27 06:10:00,銀座四丁目,2,35.671,139.7642,downtown
2026-01-27 06:10:00,東京駅丸の内口,2,35.6814,139.767,downtown
2026-01-27 06:10:00,虎ノ門ヒルズ,1,35.6656,139.748,downtown
2026-01-27 06:10:00,神田駅,1,35.6918,139.7708,downtown
2026-01-27 06:10:00,秋葉原駅,2,35.6984,139.7731,downtown
2026-01-27 06:10:00,新宿駅西口,1,35.6896,139.7006,downtown
2026-01-27 06:10:00,渋谷駅ハチ公口,1,35.6595,139.7004,downtown
2026-01-27 06:10:00,六本木ヒルズ,1,35.6604,139.7292,downtown
2026-01-27 06:10:00,赤坂見附駅,1,35.6792,139.7366,downtown
2026-01-27 06:10:00,表参道駅,2,35.6654,139.7125,downtown
2026-01-27 06:10:00,豊洲駅前,30,35.655,139.7954,suburb
2026-01-27 06:10:00,東雲住宅街,30,35.6393,139.8011,suburb
2026-01-27 06:10:00,有明ガーデン,28,35.6348,139.79,suburb
2026-01-27 06:10:00,辰巳団地,32,35.6448,139.8178,suburb
2026-01-27 06:10:00,木場公園,27,35.6711,139.8113,suburb
2026-01-27 06:10:00,品川シーサイド,32,35.6088,139.7389,suburb
2026-01-27 06:10:00,大井町駅,29,35.6056,139.7335,suburb
2026-01-27 06:10:00,武蔵小山商店街,32,35.6131,139.708,suburb
2026-01-27 06:10:00,中目黒駅,34,35.6443,139.6987,suburb
2026-01-27 06:10:00,学芸大学駅,34,35.6301,139.6961,suburb
2026-01-27 06:10:00,三軒茶屋駅,29,35.6434,139.6694,suburb
2026-01-27 06:10:00,下北沢駅,30,35.6611,139.6681,suburb
2026-01-27 06:10:00,成城学園前駅,27,35.6419,139.6024,suburb
2026-01-27 06:10:00,荻窪駅,30,35.7053,139.6203,suburb
2026-01-27 06:10:00,高円寺駅,32,35.7046,139.6493,suburb
2026-01-27 06:10:00,中野駅,33,35.7056,139.6656,suburb
2026-01-27 06:10:00,練馬駅,32,35.7375,139.6524,suburb
2026-01-27 06:10:00,光が丘公園,31,35.7609,139.6311,suburb
2026-01-27 06:10:00,板橋区役所前,31,35.7514,139.7094,suburb
2026-01-27 06:10:00,赤羽駅,32,35.7775,139.7222,suburb
2026-01-27 06:10:00,王子駅,30,35.7531,139.738,suburb
2026-01-27 06:10:00,北千住駅,32,35.7493,139.8048,suburb
2026-01-27 06:10:00,綾瀬駅,32,35.7493,139.8267,suburb
2026-01-27 06:10:00,亀有駅,31,35.7609,139.8481,suburb
2026-01-27 06:10:00,金町駅,28,35.7647,139.8706,suburb
2026-01-27 06:10:00,葛西駅,34,35.6656,139.8599,suburb
2026-01-27 06:10:00,西葛西駅,29,35.6656,139.8681,suburb
2026-01-27 06:10:00,船堀駅,28,35.6856,139.8686,suburb
2026-01-27 06:10:00,小岩駅,31,35.7337,139.8824,suburb
2026-01-27 06:10:00,錦糸町駅,29,35.6969,139.8137,suburb
2026-01-27 06:20:00,丸の内オフィス前,2,35.6812,139.7671,downtown
2026-01-27 06:20:00,大手町駅,2,35.687,139.7658,downtown
2026-01-27 06:20:00,日比谷公園,1,35.6745,139.7515,downtown
2026-01-27 06:20:00,霞が関官庁街,1,35.6735,139.7516,downtown
2026-01-27 06:20:00,新橋駅前,1,35.666,139.7577,downtown
2026-01-27 06:20:00,銀座四丁目,1,35.671,139.7642,downtown
2026-01-27 06:20:00,東京駅丸の内口,2,35.6814,139.767,downtown
2026-01-27 06:20:00,虎ノ門ヒルズ,1,35.6656,139.748,downtown
2026-01-27 06:20:00,神田駅,1,35.6918,139.7708,downtown
2026-01-27 06:20:00,秋葉原駅,1,35.6984,139.7731,downtown
